edition,year,language,category,country_or_chapter,title,url,filename,status,size_bytes,size_mb,scraped_at
Atlas 2014,2014,ENG,País,Dominican Republic,Atlas 2014 ENG – Dominican Republic,https://www.resdal.org/ing/assets/atlas-2014-chapter_17_dominicanrepublic2.pdf,atlas-2014-chapter_17_dominicanrepublic2.pdf,200,1635681,1.56,2026-06-03T20:12:32.296424Z
Atlas 2014,2014,ENG,País,Ecuador,Atlas 2014 ENG – Ecuador,https://www.resdal.org/ing/assets/atlas-2014-chapter_18_ecuador2.pdf,atlas-2014-chapter_18_ecuador2.pdf,200,1139289,1.09,2026-06-03T20:12:34.777402Z
Atlas 2014,2014,ENG,País,El Salvador,Atlas 2014 ENG – El Salvador,https://www.resdal.org/ing/assets/atlas-2014-chapter_19_el-salvador2.pdf,atlas-2014-chapter_19_el-salvador2.pdf,200,1730547,1.65,2026-06-03T20:12:40.488481Z
Atlas 2014,2014,ENG,País,Guatemala,Atlas 2014 ENG – Guatemala,https://www.resdal.org/ing/assets/atlas-2014-chapter_20_guatemala2.pdf,atlas-2014-chapter_20_guatemala2.pdf,200,2134909,2.04,2026-06-03T20:12:46.028418Z
Atlas 2014,2014,ENG,País,Honduras,Atlas 2014 ENG – Honduras,https://www.resdal.org/ing/assets/atlas-2014-chapter_21_honduras2.pdf,atlas-2014-chapter_21_honduras2.pdf,200,2280242,2.17,2026-06-03T20:12:52.105379Z
Atlas 2014,2014,ENG,País,Mexico,Atlas 2014 ENG – Mexico,https://www.resdal.org/ing/assets/atlas-2014-chapter_22_mexico2.pdf,atlas-2014-chapter_22_mexico2.pdf,200,2227805,2.12,2026-06-03T20:12:57.038736Z
Atlas 2014,2014,ENG,País,Nicaragua,Atlas 2014 ENG – Nicaragua,https://www.resdal.org/ing/assets/atlas-2014-chapter_23_nicaragua2.pdf,atlas-2014-chapter_23_nicaragua2.pdf,200,1336523,1.27,2026-06-03T20:13:01.681873Z
Atlas 2014,2014,ENG,País,Paraguay,Atlas 2014 ENG – Paraguay,https://www.resdal.org/ing/assets/atlas-2014-chapter_24_paraguay2.pdf,atlas-2014-chapter_24_paraguay2.pdf,200,1818037,1.73,2026-06-03T20:13:05.818132Z
Atlas 2014,2014,ENG,País,Peru,Atlas 2014 ENG – Peru,https://www.resdal.org/ing/assets/atlas-2014-chapter_25_peru2.pdf,atlas-2014-chapter_25_peru2.pdf,200,2086761,1.99,2026-06-03T20:13:10.242668Z
Atlas 2014,2014,ENG,País,Uruguay,Atlas 2014 ENG – Uruguay,https://www.resdal.org/ing/assets/atlas-2014-chapter_26_uruguay2.pdf,atlas-2014-chapter_26_uruguay2.pdf,200,1421395,1.36,2026-06-03T20:13:15.032827Z
Atlas 2014,2014,ENG,País,Venezuela,Atlas 2014 ENG – Venezuela,https://www.resdal.org/ing/assets/atlas-2014-chapter_27_venezuela22.pdf,atlas-2014-chapter_27_venezuela22.pdf,200,1494548,1.43,2026-06-03T20:13:20.269999Z
Atlas 2014,2014,ENG,Presentación,Presentation,Atlas 2014 ENG – Presentation,https://www.resdal.org/ing/assets/atlas-2014-chapter_000_presentation2.pdf,atlas-2014-chapter_000_presentation2.pdf,200,123733,0.12,2026-06-03T20:13:21.155820Z
Atlas 2012,2012,ENG,Completo,Completo,Atlas 2012 ENG – Full version,https://www.resdal.org/ing/atlas/atlas-2012-ing-completo.pdf,atlas-2012-ing-completo.pdf,200,38906201,37.1,2026-06-03T20:13:49.635730Z
Atlas 2010,2010,ENG,Completo,Completo,Atlas 2010 ENG – Full version,https://www.resdal.org/atlas/atlas-completo2010-ingles.pdf,atlas-completo2010-ingles.pdf,200,22188264,21.16,2026-06-03T20:14:05.049386Z
Atlas 2008,2008,ENG,Completo,Completo,Atlas 2008 ENG – Full version,https://www.resdal.org/ebook/AtlasRESDAL2008-eng/print/atlas-completo.pdf,atlas-completo.pdf,200,11543138,11.01,2026-06-03T20:14:23.816022Z
Atlas 2007,2007,ESP,Completo,Completo,Atlas 2007 ESP – Versión completa,https://www.resdal.org/ebook/AtlasRESDAL2007/print/atlas-completo.pdf,atlas-completo.pdf,200,11697089,11.16,2026-06-03T20:14:31.429042Z
Atlas 2005,2005,ESP,Completo,Completo,Atlas 2005 ESP – Versión completa,https://www.resdal.org/atlas/atlas-2005-esp.pdf,atlas-2005-esp.pdf,200,11214501,10.69,2026-06-03T20:14:38.522255Z
